;Tweet;Sentimen;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
0;emang lemes bgt ya mulut lu, gue yg mau beli-beli obat aja mikirr, drmn bisa beli obat kalo ga kerja >:);-1.0;emang lemes bgt ya mulut lu gue yg mau beli beli obat aja mikirr drmn bisa beli obat kalo ga kerja devil;['emang', 'lemes', 'bgt', 'ya', 'mulut', 'lu', 'gue', 'yg', 'mau', 'beli', 'beli', 'obat', 'aja', 'mikirr', 'drmn', 'bisa', 'beli', 'obat', 'kalo', 'ga', 'kerja', 'devil'];['memang', 'lemes', 'banget', 'iya', 'mulut', 'kamu', 'saya', 'yang', 'mau', 'beli', 'beli', 'obat', 'saja', 'mikirr', 'drmn', 'bisa', 'beli', 'obat', 'kalau', 'tidak', 'kerja', 'devil'];['lemes', 'banget', 'iya', 'mulut', 'beli', 'beli', 'obat', 'mikirr', 'drmn', 'beli', 'obat', 'kerja', 'devil'];lemes banget iya mulut beli beli obat mikirr drmn beli obat kerja devil;lemes banget iya mulut beli beli obat mikirr drmn beli obat kerja devil
1;Cegah mata rantai Covid-19,mari kita dirumah saja hingga hari Minggu.....;1.0;cegah mata rantai covid number mari kita dirumah saja hingga hari minggu repeated;['cegah', 'mata', 'rantai', 'covid', 'number', 'mari', 'kita', 'dirumah', 'saja', 'hingga', 'hari', 'minggu', 'repeated'];['cegah', 'mata', 'rantai', 'covid', 'number', 'mari', 'kita', 'dirumah', 'saja', 'hingga', 'hari', 'minggu', 'repeated'];['cegah', 'mata', 'rantai', 'covid', 'number', 'mari', 'dirumah', 'minggu', 'repeated'];cegah mata rantai covid number mari dirumah minggu repeated;cegah mata rantai covid number mari rumah minggu repeated
2;aku mohon yaAllah semoga wabah covid-19 menghilang sebelum ramadhan datang ;1.0;aku mohon yaallah semoga wabah covid number menghilang sebelum ramadhan datang;['aku', 'mohon', 'yaallah', 'semoga', 'wabah', 'covid', 'number', 'menghilang', 'sebelum', 'ramadhan', 'datang'];['aku', 'mohon', 'yaallah', 'semoga', 'wabah', 'covid', 'number', 'menghilang', 'sebelum', 'ramadhan', 'datang'];['mohon', 'yaallah', 'semoga', 'wabah', 'covid', 'number', 'menghilang', 'ramadhan'];mohon yaallah semoga wabah covid number menghilang ramadhan;mohon yaallah moga wabah covid number hilang ramadhan
3;Pemprov Papua Naikkan Status Jadi Tanggap Darurat Covid-19. OPM;1.0;pemprov papua naikkan status jadi tanggap darurat covid number allcaps opm allcaps;['pemprov', 'papua', 'naikkan', 'status', 'jadi', 'tanggap', 'darurat', 'covid', 'number', 'allcaps', 'opm', 'allcaps'];['pemprov', 'papua', 'naikkan', 'status', 'jadi', 'tanggap', 'darurat', 'covid', 'number', 'allcaps', 'opm', 'allcaps'];['pemprov', 'papua', 'naikkan', 'status', 'tanggap', 'darurat', 'covid', 'number', 'allcaps', 'opm', 'allcaps'];pemprov papua naikkan status tanggap darurat covid number allcaps opm allcaps;pemprov papua naik status tanggap darurat covid number allcaps opm allcaps
4;Covid belum nyampe prigen mbak hmm hoax;0.0;covid belum nyampe prigen mbak hmm hoax;['covid', 'belum', 'nyampe', 'prigen', 'mbak', 'hmm', 'hoax'];['covid', 'belum', 'nyampe', 'prigen', 'mbak', 'aduh', 'bohong'];['covid', 'nyampe', 'prigen', 'mbak', 'aduh', 'bohong'];covid nyampe prigen mbak aduh bohong;covid nyampe prigen mbak aduh bohong
5;Nyuruh orang pintar, lu aja Togog. Itu kerumunan orang bisa nularin covid 19 lol. Mikir !!!!;-1.0;nyuruh orang pintar lu aja togog itu kerumunan orang bisa nularin covid number lol mikir repeated;['nyuruh', 'orang', 'pintar', 'lu', 'aja', 'togog', 'itu', 'kerumunan', 'orang', 'bisa', 'nularin', 'covid', 'number', 'lol', 'mikir', 'repeated'];['nyuruh', 'orang', 'pintar', 'kamu', 'saja', 'togog', 'itu', 'kerumunan', 'orang', 'bisa', 'nularin', 'covid', 'number', 'lol', 'mikir', 'repeated'];['nyuruh', 'orang', 'pintar', 'togog', 'kerumunan', 'orang', 'nularin', 'covid', 'number', 'lol', 'mikir', 'repeated'];nyuruh orang pintar togog kerumunan orang nularin covid number lol mikir repeated;nyuruh orang pintar togog kerumun orang nularin covid number lol mikir repeated
6;Pikir2 balik byk mnde plk nk setelkn lepas covid.;0.0;pikir2 balik byk mnde plk nk setelkn lepas covid;['pikir2', 'balik', 'byk', 'mnde', 'plk', 'nk', 'setelkn', 'lepas', 'covid'];['pikir2', 'balik', 'banyak', 'mnde', 'plk', 'nk', 'setelkn', 'lepas', 'covid'];['pikir2', 'mnde', 'plk', 'nk', 'setelkn', 'lepas', 'covid'];pikir2 mnde plk nk setelkn lepas covid;pikir2 mnde plk nk setelkn lepas covid
7;Selamat pagi, hari jum'at. Jum'at keempat di kala pandemi Covid-19. Semoga kita semua dikasih kesehatan. Aamiin.;1.0;selamat pagi hari jum at jum at keempat di kala pandemi covid number semoga kita semua dikasih kesehatan aamiin;['selamat', 'pagi', 'hari', 'jum', 'at', 'jum', 'at', 'keempat', 'di', 'kala', 'pandemi', 'covid', 'number', 'semoga', 'kita', 'semua', 'dikasih', 'kesehatan', 'aamiin'];['selamat', 'pagi', 'hari', 'jum', 'at', 'jum', 'at', 'keempat', 'di', 'kala', 'pandemi', 'covid', 'number', 'semoga', 'kita', 'semua', 'dikasih', 'kesehatan', 'semoga'];['selamat', 'pagi', 'jum', 'at', 'jum', 'at', 'keempat', 'pandemi', 'covid', 'number', 'semoga', 'dikasih', 'kesehatan', 'semoga'];selamat pagi jum at jum at keempat pandemi covid number semoga dikasih kesehatan semoga;selamat pagi jum at jum at empat pandemi covid number moga kasih sehat moga
8;Hikmah di balik musibah covid-19, smg para pejabat pemerintahan sadar lbh mengedepankan kekayaan negara utk kesejahteraan rakyat Indonesia, bukan memperkaya diri sendiri, keluarga dan kepentingan golongan. Apalagi membela kepentingan WNA, yg jelas2 melukai kepentingan rakyat.;1.0;hikmah di balik musibah covid number smg para pejabat pemerintahan sadar lbh mengedepankan kekayaan negara utk kesejahteraan rakyat indonesia bukan memperkaya diri sendiri keluarga dan kepentingan golongan apalagi membela kepentingan allcaps wna allcaps yg jelas2 melukai kepentingan rakyat;['hikmah', 'di', 'balik', 'musibah', 'covid', 'number', 'smg', 'para', 'pejabat', 'pemerintahan', 'sadar', 'lbh', 'mengedepankan', 'kekayaan', 'negara', 'utk', 'kesejahteraan', 'rakyat', 'indonesia', 'bukan', 'memperkaya', 'diri', 'sendiri', 'keluarga', 'dan', 'kepentingan', 'golongan', 'apalagi', 'membela', 'kepentingan', 'allcaps', 'wna', 'allcaps', 'yg', 'jelas2', 'melukai', 'kepentingan', 'rakyat'];['hikmah', 'di', 'balik', 'musibah', 'covid', 'number', 'semoga', 'para', 'pejabat', 'pemerintahan', 'sadar', 'lebih', 'mengedepankan', 'kekayaan', 'negara', 'untuk', 'kesejahteraan', 'rakyat', 'indonesia', 'bukan', 'memperkaya', 'diri', 'sendiri', 'keluarga', 'dan', 'kepentingan', 'golongan', 'apalagi', 'membela', 'kepentingan', 'allcaps', 'wna', 'allcaps', 'yang', 'jelas2', 'melukai', 'kepentingan', 'rakyat'];['hikmah', 'musibah', 'covid', 'number', 'semoga', 'pejabat', 'pemerintahan', 'sadar', 'mengedepankan', 'kekayaan', 'negara', 'kesejahteraan', 'rakyat', 'indonesia', 'memperkaya', 'keluarga', 'kepentingan', 'golongan', 'membela', 'kepentingan', 'allcaps', 'wna', 'allcaps', 'jelas2', 'melukai', 'kepentingan', 'rakyat'];hikmah musibah covid number semoga pejabat pemerintahan sadar mengedepankan kekayaan negara kesejahteraan rakyat indonesia memperkaya keluarga kepentingan golongan membela kepentingan allcaps wna allcaps jelas2 melukai kepentingan rakyat;hikmah musibah covid number moga jabat perintah sadar depan kaya negara sejahtera rakyat indonesia kaya keluarga penting golong bela penting allcaps wna allcaps jelas2 luka penting rakyat
9;Cegah covid-19 beserta jajaran Polsek Kuranji melakukan aksi peduli berupa pembagian masker gratis bagi pengguna jalan kegiatan ini dilakukan di depan Polsek Kuranji.Kamis (9/4)Febriputraguci;1.0;cegah covid number beserta jajaran polsek kuranji melakukan aksi peduli berupa pembagian masker gratis bagi pengguna jalan kegiatan ini dilakukan di depan polsek kuranji kamis number number febriputraguci;['cegah', 'covid', 'number', 'beserta', 'jajaran', 'polsek', 'kuranji', 'melakukan', 'aksi', 'peduli', 'berupa', 'pembagian', 'masker', 'gratis', 'bagi', 'pengguna', 'jalan', 'kegiatan', 'ini', 'dilakukan', 'di', 'depan', 'polsek', 'kuranji', 'kamis', 'number', 'number', 'febriputraguci'];['cegah', 'covid', 'number', 'beserta', 'jajaran', 'polsek', 'kuranji', 'melakukan', 'aksi', 'peduli', 'berupa', 'pembagian', 'masker', 'gratis', 'bagi', 'pengguna', 'jalan', 'kegiatan', 'ini', 'dilakukan', 'di', 'depan', 'polsek', 'kuranji', 'kamis', 'number', 'number', 'febriputraguci'];['cegah', 'covid', 'number', 'beserta', 'jajaran', 'polsek', 'kuranji', 'aksi', 'peduli', 'pembagian', 'masker', 'gratis', 'pengguna', 'jalan', 'kegiatan', 'polsek', 'kuranji', 'kamis', 'number', 'number', 'febriputraguci'];cegah covid number beserta jajaran polsek kuranji aksi peduli pembagian masker gratis pengguna jalan kegiatan polsek kuranji kamis number number febriputraguci;cegah covid number serta jajar polsek ranji aksi peduli bagi masker gratis guna jalan giat polsek ranji kamis number number febriputraguci
